ts,symbol,close,quote_volume
2026-03-03T01:00:00+00:00,SOLUSDT,86.1,51270418.9809
2026-03-03T02:00:00+00:00,BTCUSDT,68478.1,684407897.3456
2026-03-03T02:00:00+00:00,ETHUSDT,2012.68,593499886.0435
2026-03-03T02:00:00+00:00,SOLUSDT,86.15,96324109.9985
2026-03-03T03:00:00+00:00,BTCUSDT,68349.3,269971254.6954
2026-03-03T03:00:00+00:00,ETHUSDT,2007.69,203792170.30968
2026-03-03T03:00:00+00:00,SOLUSDT,86.23,42234757.0163
2026-03-03T04:00:00+00:00,BTCUSDT,68093.0,282292348.5191
2026-03-03T04:00:00+00:00,ETHUSDT,1998.74,203555209.88452
2026-03-03T04:00:00+00:00,SOLUSDT,85.8,44566285.1739
2026-03-03T05:00:00+00:00,BTCUSDT,67911.6,637843854.2321
2026-03-03T05:00:00+00:00,ETHUSDT,1992.46,651594964.52246
2026-03-03T05:00:00+00:00,SOLUSDT,85.73,110088015.0456
2026-03-03T06:00:00+00:00,BTCUSDT,68070.0,444260594.4842
2026-03-03T06:00:00+00:00,ETHUSDT,1998.27,275954781.21657
2026-03-03T06:00:00+00:00,SOLUSDT,85.78,60887068.4263
2026-03-03T07:00:00+00:00,BTCUSDT,68138.3,350224008.7
2026-03-03T07:00:00+00:00,ETHUSDT,1995.27,240860006.86687
2026-03-03T07:00:00+00:00,SOLUSDT,85.53,78803038.5505
2026-03-03T08:00:00+00:00,BTCUSDT,66972.7,1267346988.8754
2026-03-03T08:00:00+00:00,ETHUSDT,1952.11,1100332931.0071
2026-03-03T08:00:00+00:00,SOLUSDT,84.2,154591832.0945
2026-03-03T09:00:00+00:00,BTCUSDT,66614.5,1276839963.1504
2026-03-03T09:00:00+00:00,ETHUSDT,1950.21,1040846552.1797
2026-03-03T09:00:00+00:00,SOLUSDT,84.23,131954735.2895
2026-03-03T10:00:00+00:00,BTCUSDT,66826.3,726629560.2629
2026-03-03T10:00:00+00:00,ETHUSDT,1956.77,447926764.1571
2026-03-03T10:00:00+00:00,SOLUSDT,83.86,123351277.5967
2026-03-03T11:00:00+00:00,BTCUSDT,67000.0,586835407.386
2026-03-03T11:00:00+00:00,ETHUSDT,1960.09,348511329.83512
2026-03-03T11:00:00+00:00,SOLUSDT,84.15,115438721.7408
2026-03-03T12:00:00+00:00,BTCUSDT,67360.1,982537116.695
2026-03-03T12:00:00+00:00,ETHUSDT,1966.34,664670854.50165
2026-03-03T12:00:00+00:00,SOLUSDT,84.37,147829789.167
2026-03-03T13:00:00+00:00,BTCUSDT,66893.6,744135320.4621
2026-03-03T13:00:00+00:00,ETHUSDT,1950.99,559065705.22731
2026-03-03T13:00:00+00:00,SOLUSDT,83.56,109035165.3801
2026-03-03T14:00:00+00:00,BTCUSDT,66539.9,1510136824.161
2026-03-03T14:00:00+00:00,ETHUSDT,1941.87,1227419726.9348
2026-03-03T14:00:00+00:00,SOLUSDT,83.2,220917393.8332
2026-03-03T15:00:00+00:00,BTCUSDT,67692.5,1320545914.0886
2026-03-03T15:00:00+00:00,ETHUSDT,1968.09,867292784.8749
2026-03-03T15:00:00+00:00,SOLUSDT,84.98,205933931.4012
2026-03-03T16:00:00+00:00,BTCUSDT,68137.4,2023081786.2887
2026-03-03T16:00:00+00:00,ETHUSDT,1983.08,1780120115.97057
2026-03-03T16:00:00+00:00,SOLUSDT,85.34,361900361.1474
2026-03-03T17:00:00+00:00,BTCUSDT,68280.5,834392627.7112
2026-03-03T17:00:00+00:00,ETHUSDT,1979.55,656589365.02174
2026-03-03T17:00:00+00:00,SOLUSDT,85.14,138352834.4914
2026-03-03T18:00:00+00:00,BTCUSDT,68589.9,666440549.3091
2026-03-03T18:00:00+00:00,ETHUSDT,1987.39,495324104.12035
2026-03-03T18:00:00+00:00,SOLUSDT,85.35,113332754.3858
2026-03-03T19:00:00+00:00,BTCUSDT,68395.9,674529553.3229
2026-03-03T19:00:00+00:00,ETHUSDT,1985.14,344470665.61251
2026-03-03T19:00:00+00:00,SOLUSDT,85.04,111025873.2037
2026-03-03T20:00:00+00:00,BTCUSDT,68232.9,378529381.0556
2026-03-03T20:00:00+00:00,ETHUSDT,1977.32,219652917.90818
2026-03-03T20:00:00+00:00,SOLUSDT,84.81,65773521.2738
2026-03-03T21:00:00+00:00,BTCUSDT,67976.5,380718955.7579
2026-03-03T21:00:00+00:00,ETHUSDT,1967.37,238023204.8751
2026-03-03T21:00:00+00:00,SOLUSDT,85.08,56043066.1637
2026-03-03T22:00:00+00:00,BTCUSDT,68275.1,261434234.188
2026-03-03T22:00:00+00:00,ETHUSDT,1982.38,210126496.66248
2026-03-03T22:00:00+00:00,SOLUSDT,86.24,85521708.295
2026-03-03T23:00:00+00:00,BTCUSDT,68295.3,386348979.6355
2026-03-03T23:00:00+00:00,ETHUSDT,1981.85,307877567.18898
2026-03-03T23:00:00+00:00,SOLUSDT,86.92,130570226.7272
2026-03-04T00:00:00+00:00,BTCUSDT,68065.8,409428893.7672
2026-03-04T00:00:00+00:00,ETHUSDT,1975.54,356529362.17355
2026-03-04T00:00:00+00:00,SOLUSDT,86.58,83250750.5013
2026-03-04T01:00:00+00:00,BTCUSDT,68377.9,773202906.3016
2026-03-04T01:00:00+00:00,ETHUSDT,1980.76,324570928.23167
2026-03-04T01:00:00+00:00,SOLUSDT,87.22,130243075.8792
2026-03-04T02:00:00+00:00,BTCUSDT,68286.0,378735226.0529
2026-03-04T02:00:00+00:00,ETHUSDT,1978.09,200412337.81003
2026-03-04T02:00:00+00:00,SOLUSDT,87.02,71626037.6427
2026-03-04T03:00:00+00:00,BTCUSDT,67700.1,733462292.1958
2026-03-04T03:00:00+00:00,ETHUSDT,1959.59,605097296.19071
2026-03-04T03:00:00+00:00,SOLUSDT,85.71,137080939.6207
2026-03-04T04:00:00+00:00,BTCUSDT,67755.8,561171485.8841
2026-03-04T04:00:00+00:00,ETHUSDT,1959.14,262619296.96741
2026-03-04T04:00:00+00:00,SOLUSDT,85.36,81362581.3158
2026-03-04T05:00:00+00:00,BTCUSDT,68173.2,449622134.9508
2026-03-04T05:00:00+00:00,ETHUSDT,1970.08,283369343.55997
2026-03-04T05:00:00+00:00,SOLUSDT,85.64,95798068.9
2026-03-04T06:00:00+00:00,BTCUSDT,68472.2,557823920.0484
2026-03-04T06:00:00+00:00,ETHUSDT,1979.25,307660305.18818
2026-03-04T06:00:00+00:00,SOLUSDT,85.56,82734085.7796
2026-03-04T07:00:00+00:00,BTCUSDT,69464.5,1122457621.6434
2026-03-04T07:00:00+00:00,ETHUSDT,2005.72,575790187.3773
2026-03-04T07:00:00+00:00,SOLUSDT,87.38,111659724.5461
2026-03-04T08:00:00+00:00,BTCUSDT,70993.7,2143406745.489
2026-03-04T08:00:00+00:00,ETHUSDT,2063.26,1544093283.04163
2026-03-04T08:00:00+00:00,SOLUSDT,89.7,237736671.4688
2026-03-04T09:00:00+00:00,BTCUSDT,71487.1,2603179531.0106
2026-03-04T09:00:00+00:00,ETHUSDT,2074.45,1590753488.97894
2026-03-04T09:00:00+00:00,SOLUSDT,90.5,353187215.459
2026-03-04T10:00:00+00:00,BTCUSDT,71310.9,1173050802.542
2026-03-04T10:00:00+00:00,ETHUSDT,2071.72,744438024.90918
2026-03-04T10:00:00+00:00,SOLUSDT,90.12,216359476.785
2026-03-04T11:00:00+00:00,BTCUSDT,71082.4,791926421.1121
2026-03-04T11:00:00+00:00,ETHUSDT,2054.18,710181406.6562
2026-03-04T11:00:00+00:00,SOLUSDT,89.73,138798746.3548
2026-03-04T12:00:00+00:00,BTCUSDT,71307.8,1062010252.3265
2026-03-04T12:00:00+00:00,ETHUSDT,2053.31,579727325.73766
2026-03-04T12:00:00+00:00,SOLUSDT,89.39,136527354.0723
2026-03-04T13:00:00+00:00,BTCUSDT,71447.9,688537582.4034
2026-03-04T13:00:00+00:00,ETHUSDT,2063.47,527103340.71889
2026-03-04T13:00:00+00:00,SOLUSDT,89.94,119305967.1825
2026-03-04T14:00:00+00:00,BTCUSDT,71580.5,2608831049.1202
2026-03-04T14:00:00+00:00,ETHUSDT,2079.06,1625372547.19031
2026-03-04T14:00:00+00:00,SOLUSDT,90.13,299873974.1241
2026-03-04T15:00:00+00:00,BTCUSDT,73339.7,2300992062.8267
2026-03-04T15:00:00+00:00,ETHUSDT,2149.3,1949271614.63144
2026-03-04T15:00:00+00:00,SOLUSDT,92.88,347656425.7838
2026-03-04T16:00:00+00:00,BTCUSDT,73241.2,1415460648.249
2026-03-04T16:00:00+00:00,ETHUSDT,2141.24,1217915328.03796
2026-03-04T16:00:00+00:00,SOLUSDT,91.47,232435769.805
2026-03-04T17:00:00+00:00,BTCUSDT,73174.2,1387904714.4381
2026-03-04T17:00:00+00:00,ETHUSDT,2144.83,668563977.42877
2026-03-04T17:00:00+00:00,SOLUSDT,91.49,158107266.0211
2026-03-04T18:00:00+00:00,BTCUSDT,73651.4,853941998.4858
2026-03-04T18:00:00+00:00,ETHUSDT,2161.99,502994869.91069
2026-03-04T18:00:00+00:00,SOLUSDT,92.32,89957306.4911
2026-03-04T19:00:00+00:00,BTCUSDT,73748.0,326556723.3951
2026-03-04T19:00:00+00:00,ETHUSDT,2175.3,315485249.01733
2026-03-04T19:00:00+00:00,SOLUSDT,92.5,38576780.0217
